5,it was maybe a couple of days ago one of my friends made a comment about me that I didn't think was very nice so I got kind of upset
1,"i'm doing ok, thanks"
4,probably last week when i was with my family 
6,some days it's great and some days it's not we have finals coming up soon so lately it's been little bit more difficult I guess because lot of thoughts on my mind at night
30,probably procrastinating so much on my homework it just feels like there's so much to do
12,um it was maybe a couple of days ago um one of my friends made a comment about me that I didn't think was very nice so I got kind of upset
12,"i'm doing ok, thanks"
12,um probably last week when i was with my family 
12,um some days it's great and some days it's not we have finals coming up soon so lately it's been little bit more difficult um I guess because lot of thoughts on my mind at night
12,umm probably procrastinating so much on my homework it just feels like there's so much to do
